POS		频数		占比
NOUN		311		36.54524089306698%
VERB		182		21.386603995299648%
PUNCT		133		15.62867215041128%
ADV		49		5.7579318448883665%
ADJ		46		5.405405405405405%
PART		34		3.9952996474735603%
ADP		20		2.3501762632197414%
NUM		19		2.2326674500587544%
PROPN		17		1.9976498237367801%
PRON		17		1.9976498237367801%
CCONJ		14		1.645123384253819%
DET		5		0.5875440658049353%
SPACE		2		0.23501762632197415%
X		1		0.11750881316098707%
SCONJ		1		0.11750881316098707%
