POS		频数		占比
NOUN		4185		36.55021834061135%
VERB		1955		17.074235807860262%
PUNCT		1765		15.414847161572052%
PART		995		8.68995633187773%
ADJ		482		4.209606986899563%
ADV		458		4.0%
CCONJ		379		3.3100436681222707%
ADP		341		2.978165938864629%
NUM		336		2.934497816593886%
PROPN		221		1.9301310043668123%
DET		144		1.25764192139738%
PRON		90		0.7860262008733625%
SPACE		63		0.5502183406113537%
X		21		0.1834061135371179%
SCONJ		15		0.13100436681222707%
