POS		频数		占比
NOUN		396		29.05355832721937%
VERB		263		19.29567131327953%
PUNCT		220		16.140865737344093%
PROPN		110		8.070432868672047%
ADV		78		5.722670579603815%
PART		77		5.649303008070433%
ADJ		61		4.475421863536317%
NUM		53		3.8884812912692595%
ADP		45		3.301540719002201%
PRON		29		2.127659574468085%
CCONJ		17		1.247248716067498%
DET		13		0.9537784299339692%
SCONJ		1		0.07336757153338225%
