POS		频数		占比
NOUN		1988		29.48679916938594%
VERB		1245		18.466330465737173%
PUNCT		1050		15.574013645802431%
ADV		552		8.187481459507564%
PART		429		6.363097003856423%
PROPN		405		6.007119549095224%
NUM		256		3.7970928507861172%
ADP		238		3.530109759715218%
ADJ		238		3.530109759715218%
PRON		140		2.076535152773658%
CCONJ		113		1.6760605161673092%
DET		59		0.8751112429546128%
X		18		0.26698309107089885%
SCONJ		11		0.16315633343221594%
