POS		频数		占比
NOUN		1159		37.20706260032103%
VERB		562		18.041733547351523%
PUNCT		473		15.184590690208669%
ADJ		167		5.36115569823435%
ADV		166		5.329052969502408%
PROPN		142		4.558587479935794%
PART		132		4.237560192616372%
NUM		115		3.6918138041733553%
ADP		94		3.0176565008025684%
CCONJ		77		2.4719101123595504%
DET		13		0.4173354735152488%
PRON		12		0.3852327447833066%
X		3		0.09630818619582665%
