POS		频数		占比
NOUN		1512		28.394366197183096%
VERB		1195		22.44131455399061%
PUNCT		807		15.154929577464788%
ADV		490		9.201877934272302%
PART		401		7.530516431924883%
NUM		181		3.3990610328638495%
ADP		160		3.004694835680751%
PRON		151		2.835680751173709%
ADJ		148		2.779342723004695%
PROPN		144		2.704225352112676%
CCONJ		69		1.295774647887324%
DET		45		0.8450704225352111%
X		12		0.22535211267605634%
SCONJ		10		0.18779342723004694%
