POS		频数		占比
NOUN		780		34.07601572739188%
VERB		412		17.99912625600699%
PUNCT		329		14.37308868501529%
ADV		144		6.290956749672345%
PART		137		5.9851463521188295%
PROPN		120		5.242463958060288%
ADJ		111		4.849279161205767%
ADP		101		4.412407164700743%
NUM		59		2.5775447793796418%
CCONJ		51		2.2280471821756227%
PRON		24		1.0484927916120577%
DET		15		0.655307994757536%
X		4		0.17474879860200962%
SCONJ		2		0.08737439930100481%
