POS		频数		占比
NOUN		2514		28.777472527472526%
VERB		1672		19.13919413919414%
PUNCT		1431		16.380494505494507%
ADV		676		7.738095238095238%
PROPN		590		6.753663003663004%
PART		583		6.673534798534798%
ADJ		331		3.788919413919414%
NUM		319		3.651556776556777%
ADP		272		3.1135531135531136%
PRON		160		1.8315018315018317%
CCONJ		109		1.2477106227106227%
DET		57		0.6524725274725275%
X		12		0.13736263736263737%
SCONJ		10		0.11446886446886448%
