POS		频数		占比
NOUN		349		35.75819672131148%
VERB		187		19.15983606557377%
PUNCT		164		16.80327868852459%
ADV		56		5.737704918032787%
PART		47		4.815573770491803%
ADJ		44		4.508196721311475%
ADP		29		2.971311475409836%
PROPN		27		2.7663934426229506%
NUM		24		2.459016393442623%
PRON		21		2.151639344262295%
CCONJ		21		2.151639344262295%
DET		4		0.4098360655737705%
X		3		0.3073770491803279%
