POS		频数		占比
NOUN		524		34.04808317089019%
VERB		325		21.11760883690708%
PUNCT		266		17.28395061728395%
ADV		109		7.082521117608836%
ADJ		65		4.223521767381416%
PART		62		4.028589993502274%
ADP		44		2.8589993502274202%
PROPN		40		2.599090318388564%
PRON		34		2.2092267706302793%
NUM		31		2.014294996751137%
CCONJ		25		1.6244314489928524%
DET		8		0.5198180636777128%
X		4		0.2599090318388564%
SCONJ		2		0.1299545159194282%
