POS		频数		占比		
NOUN		803		24.114114114114113%
ADP		617		18.52852852852853%
DET		566		16.996996996996998%
ADJ		336		10.09009009009009%
PUNCT		248		7.4474474474474475%
VERB		231		6.936936936936937%
CCONJ		154		4.624624624624625%
PROPN		129		3.873873873873874%
PRON		88		2.6426426426426426%
ADV		83		2.4924924924924925%
AUX		59		1.7717717717717716%
SCONJ		9		0.2702702702702703%
NUM		7		0.21021021021021022%
