POS		频数		占比		
NOUN		320		21.390374331550802%
ADP		244		16.31016042780749%
DET		242		16.176470588235293%
VERB		153		10.227272727272728%
PUNCT		124		8.288770053475936%
ADJ		120		8.02139037433155%
PROPN		83		5.548128342245989%
PRON		63		4.211229946524064%
CCONJ		60		4.010695187165775%
ADV		41		2.740641711229946%
AUX		30		2.0053475935828877%
SCONJ		10		0.6684491978609626%
NUM		6		0.4010695187165776%
