POS		频数		占比		
NOUN		386		25.29488859764089%
ADP		272		17.82437745740498%
DET		231		15.137614678899084%
VERB		145		9.501965923984272%
PUNCT		122		7.99475753604194%
ADJ		112		7.339449541284404%
CCONJ		76		4.980340760157274%
PRON		65		4.259501965923985%
ADV		39		2.5557011795543905%
PROPN		28		1.834862385321101%
AUX		27		1.7693315858453473%
NUM		15		0.9829619921363041%
SCONJ		8		0.5242463958060288%
