POS		频数		占比		
NOUN		427		22.216441207075963%
ADP		316		16.441207075962538%
DET		274		14.25598335067638%
ADJ		196		10.197710718002082%
VERB		156		8.116545265348595%
PUNCT		148		7.700312174817898%
CCONJ		91		4.734651404786681%
PROPN		84		4.37044745057232%
PRON		70		3.6420395421436007%
ADV		66		3.433922996878252%
AUX		49		2.5494276795005204%
NUM		32		1.664932362122789%
SCONJ		13		0.676378772112383%
