POS		频数		占比		
NOUN		2651		20.714174089701515%
DET		2093		16.35411783091108%
ADP		2048		16.002500390686045%
VERB		1149		8.977965307079232%
ADJ		1142		8.923269260822003%
PUNCT		1066		8.329426472886388%
PROPN		636		4.96952648851383%
CCONJ		529		4.133458352867636%
PRON		454		3.54742928582591%
ADV		416		3.250507891858103%
AUX		376		2.937959056102516%
NUM		129		1.0079699953117673%
SCONJ		90		0.7032348804500703%
X		19		0.14846069698390374%
