POS		频数		占比		
NOUN		1526		21.70697012802276%
ADP		1113		15.832147937411095%
DET		1068		15.19203413940256%
VERB		740		10.526315789473683%
PUNCT		644		9.160739687055477%
ADJ		545		7.7524893314367%
PRON		381		5.4196301564722615%
ADV		265		3.769559032716927%
CCONJ		251		3.5704125177809387%
AUX		209		2.9729729729729732%
PROPN		144		2.0483641536273116%
SCONJ		77		1.0953058321479374%
NUM		64		0.9103840682788052%
X		3		0.042674253200568994%
